side,distance_bucket,C_tertile,mean,std,count
above,"(-0.001, 0.5]",low,-0.0006418330428913026,0.0007102594442690443,24
above,"(-0.001, 0.5]",mid,-0.00037709189296742366,0.0006665131859798643,57
above,"(-0.001, 0.5]",high,-0.00027328554048645416,0.00040654799989558316,99
above,"(0.5, 1.0]",low,-0.00018844050106276417,0.0008126329244062121,48
above,"(0.5, 1.0]",mid,-1.5099594327526364e-05,0.0007727242359770789,62
above,"(0.5, 1.0]",high,7.82787843839342e-06,0.0004568704893227624,89
above,"(1.0, 1.5]",low,-1.583934176211228e-05,0.0007574435960886829,51
above,"(1.0, 1.5]",mid,-0.00012330213331824383,0.0007194843587019244,64
above,"(1.0, 1.5]",high,-0.00014417329015714453,0.0006189272497918931,65
above,"(1.5, 2.0]",low,2.0878438680675687e-05,0.0007699606162504268,81
above,"(1.5, 2.0]",mid,8.957251357948233e-05,0.0008533612391242546,77
above,"(1.5, 2.0]",high,-3.2551425579339626e-05,0.0004759018500957423,41
above,"(2.0, 3.01]",low,-2.959140485178213e-05,0.0008188752957539214,189
above,"(2.0, 3.01]",mid,-1.1708868486182366e-05,0.0006999078567328746,129
above,"(2.0, 3.01]",high,7.966786623296228e-05,0.0008423239738774192,61
below,"(-0.001, 0.5]",low,-0.0005030643819776348,0.0007929854442709967,37
below,"(-0.001, 0.5]",mid,-0.0003376696364299162,0.0006111954774583507,58
below,"(-0.001, 0.5]",high,-0.00019362568959640212,0.0005154147784592529,106
below,"(0.5, 1.0]",low,1.3257849740965606e-05,0.0007878332587150159,38
below,"(0.5, 1.0]",mid,-0.00010181341094288521,0.0008544064419218643,51
below,"(0.5, 1.0]",high,5.790600170286669e-05,0.0005286033564650628,89
below,"(1.0, 1.5]",low,-0.0002879398202580409,0.0008897066623114964,42
below,"(1.0, 1.5]",mid,7.519479936870023e-05,0.0005948300026948719,79
below,"(1.0, 1.5]",high,-0.00014086046790915319,0.0006221899253972171,80
below,"(1.5, 2.0]",low,1.7886763584094566e-05,0.0008248975828463166,65
below,"(1.5, 2.0]",mid,3.9741037161396665e-05,0.0008737755002365296,50
below,"(1.5, 2.0]",high,0.00013633828027894457,0.0006382549771407404,63
below,"(2.0, 3.01]",low,-5.6344793707131724e-05,0.0008623704665755152,183
below,"(2.0, 3.01]",mid,7.162636771346538e-05,0.000731016804963958,131
below,"(2.0, 3.01]",high,4.5326581443073294e-05,0.0006164280385691817,65
