side,time_bucket,distance_bucket,tertile,mean,std,n_rows,n_anchors,measure
above,open (0-60min),"(-0.001, 0.5]",mid,-0.0005247584547112082,0.00037561898479028234,4,4,A
above,open (0-60min),"(-0.001, 0.5]",high,-0.0009320990783009904,0.0009121301245649519,11,11,A
above,open (0-60min),"(0.5, 1.0]",mid,0.0007709375298651647,0.00031368201277372335,5,5,A
above,open (0-60min),"(0.5, 1.0]",high,-0.0005289937228351484,0.0007979884554429713,9,9,A
above,open (0-60min),"(1.0, 1.5]",low,-0.0006621274914926575,0.0003586229520600692,2,2,A
above,open (0-60min),"(1.0, 1.5]",mid,-0.0008452722831013852,0.0005606264604444923,5,5,A
above,open (0-60min),"(1.0, 1.5]",high,-0.00038476405047069864,0.0009089566659007366,8,8,A
above,open (0-60min),"(1.5, 2.0]",mid,0.0002169828459429882,0.0010838206398599594,11,11,A
above,open (0-60min),"(1.5, 2.0]",high,-0.000608323077331234,0.0006738282493270954,3,3,A
above,open (0-60min),"(2.0, 3.01]",low,-6.335582788014323e-05,0.0009645908459089123,13,13,A
above,open (0-60min),"(2.0, 3.01]",mid,-0.00027814004349253554,0.0012441704671738813,16,16,A
above,midday (60-180min),"(-0.001, 0.5]",low,-0.0003870813408067113,0.0003924617918389442,6,6,A
above,midday (60-180min),"(-0.001, 0.5]",mid,-0.00020912552069539368,0.0004118988160042528,7,7,A
above,midday (60-180min),"(-0.001, 0.5]",high,-0.000499115083454552,0.0005467561947851888,41,41,A
above,midday (60-180min),"(0.5, 1.0]",low,-0.00014204483928693563,0.0004904294700468125,9,9,A
above,midday (60-180min),"(0.5, 1.0]",mid,0.00012272820049525983,0.0005369301749360625,12,12,A
above,midday (60-180min),"(0.5, 1.0]",high,0.0001365220205836841,0.0005279929520451426,30,30,A
above,midday (60-180min),"(1.0, 1.5]",low,0.00020278783246274884,0.0007084614454982751,10,10,A
above,midday (60-180min),"(1.0, 1.5]",mid,-0.00030750741710740737,0.0007625644463472542,25,25,A
above,midday (60-180min),"(1.0, 1.5]",high,5.820938545883206e-05,0.0008775251501252744,19,19,A
above,midday (60-180min),"(1.5, 2.0]",low,8.945260570793167e-05,0.0007772330255998381,17,17,A
above,midday (60-180min),"(1.5, 2.0]",mid,0.00020007823637954389,0.0004904740160156407,27,27,A
above,midday (60-180min),"(1.5, 2.0]",high,9.042474916347243e-05,0.0006456801473283412,7,7,A
above,midday (60-180min),"(2.0, 3.01]",low,6.853468875793738e-06,0.000781939831296415,60,60,A
above,midday (60-180min),"(2.0, 3.01]",mid,0.00014555484776141418,0.0007504982532343052,39,39,A
above,midday (60-180min),"(2.0, 3.01]",high,-0.0002604598466784313,0.0006266816211969463,6,6,A
above,close (180min+),"(-0.001, 0.5]",low,-0.0002479927101807242,0.0002603005805514069,5,5,A
