side,time_bucket,distance_bucket,tertile,mean,std,n_rows,n_anchors,measure
above,open (0-60min),"(-0.001, 0.5]",low,-0.0017620323461727495,0.0012984440892815398,2,2,C
above,open (0-60min),"(-0.001, 0.5]",mid,-0.0006454474820818199,0.000671039049131602,9,9,C
above,open (0-60min),"(-0.001, 0.5]",high,-0.000754757912268462,0.0007906924161726929,4,4,C
above,open (0-60min),"(0.5, 1.0]",low,-1.9123472268718503e-05,0.0010093175671753599,3,3,C
above,open (0-60min),"(0.5, 1.0]",mid,9.563713111488687e-05,0.0009993072420079153,8,8,C
above,open (0-60min),"(0.5, 1.0]",high,-0.000537994162767817,0.0007098493532005897,3,3,C
above,open (0-60min),"(1.0, 1.5]",low,-0.0007027570813739427,0.000423273235858941,6,6,C
above,open (0-60min),"(1.0, 1.5]",mid,0.00013733728080126886,0.0006192017650484419,5,5,C
above,open (0-60min),"(1.0, 1.5]",high,-0.0012747181795051297,0.0005216160522548101,4,4,C
above,open (0-60min),"(1.5, 2.0]",low,5.304649386337065e-05,0.0011489371094990026,7,7,C
above,open (0-60min),"(1.5, 2.0]",mid,0.0005449242157043546,0.001331741863127445,3,3,C
above,open (0-60min),"(1.5, 2.0]",high,-0.0003610640076943726,0.00067907377256828,4,4,C
above,open (0-60min),"(2.0, 3.01]",low,1.610392618106698e-05,0.0012715174398817315,16,16,C
above,open (0-60min),"(2.0, 3.01]",mid,-0.00046448072297695025,0.0008636079716311036,7,7,C
above,open (0-60min),"(2.0, 3.01]",high,-0.0003800273693968085,0.0009557685856711053,6,6,C
above,midday (60-180min),"(-0.001, 0.5]",low,-0.0005187753912916613,0.0005644200053563467,15,15,C
above,midday (60-180min),"(-0.001, 0.5]",mid,-0.0004241062903361292,0.000580941055622095,16,16,C
above,midday (60-180min),"(-0.001, 0.5]",high,-0.00042098928680833357,0.00045980163477373924,23,23,C
above,midday (60-180min),"(0.5, 1.0]",low,-4.6927687193222655e-05,0.0004599940741831651,20,20,C
above,midday (60-180min),"(0.5, 1.0]",mid,0.00018797346076566957,0.0005719550136929726,15,15,C
above,midday (60-180min),"(0.5, 1.0]",high,0.00015055920639066439,0.0005516346753567904,16,16,C
above,midday (60-180min),"(1.0, 1.5]",low,0.0001744133857449396,0.0007436480413078511,24,24,C
above,midday (60-180min),"(1.0, 1.5]",mid,-0.0003187893511675534,0.0007790610722435397,24,24,C
above,midday (60-180min),"(1.0, 1.5]",high,-0.00018146760153285908,0.0010127568178628873,6,6,C
above,midday (60-180min),"(1.5, 2.0]",low,-3.9066674350080755e-05,0.0004703608066483884,17,17,C
above,midday (60-180min),"(1.5, 2.0]",mid,0.00021824649153417083,0.0006714922448732393,28,28,C
above,midday (60-180min),"(1.5, 2.0]",high,0.0003515019374035699,0.0006132769602970522,6,6,C
above,midday (60-180min),"(2.0, 3.01]",low,-3.7630332310212636e-05,0.0007515054040480931,54,54,C
above,midday (60-180min),"(2.0, 3.01]",mid,0.00011934996387136263,0.000619130043421193,39,39,C
above,midday (60-180min),"(2.0, 3.01]",high,0.0001585397890783775,0.001177261337879556,12,12,C
above,close (180min+),"(-0.001, 0.5]",low,-0.0005300295637583714,0.0004709199193374502,4,4,C
above,close (180min+),"(-0.001, 0.5]",mid,-0.0003151361739341852,0.0007759029977113813,24,24,C
above,close (180min+),"(-0.001, 0.5]",high,-0.00017088124749019352,0.00029776523245542965,59,59,C
above,close (180min+),"(0.5, 1.0]",low,-0.00019380112694727182,0.0005677674050533571,10,10,C
above,close (180min+),"(0.5, 1.0]",mid,-0.00013726131525879754,0.0008475135590932917,26,26,C
above,close (180min+),"(0.5, 1.0]",high,1.5255312109203044e-05,0.00043799003655034985,47,47,C
above,close (180min+),"(1.0, 1.5]",low,-0.000139156611964046,0.0007772169357132394,17,17,C
above,close (180min+),"(1.0, 1.5]",mid,-0.0001600301978403577,0.0004751932896091394,25,25,C
above,close (180min+),"(1.0, 1.5]",high,-0.00010736838708989382,0.000489355843251411,45,45,C
above,close (180min+),"(1.5, 2.0]",low,8.05838903410101e-05,0.0007089979371079578,37,37,C
above,close (180min+),"(1.5, 2.0]",mid,-7.917829846527651e-05,0.0008621688623869316,23,23,C
above,close (180min+),"(1.5, 2.0]",high,-4.026815466908243e-05,0.0003465014048167728,23,23,C
above,close (180min+),"(2.0, 3.01]",low,-4.3982587359610375e-06,0.0006834194618548592,82,82,C
above,close (180min+),"(2.0, 3.01]",mid,-0.00012001652703127025,0.0005927285389665197,59,59,C
above,close (180min+),"(2.0, 3.01]",high,-8.998548803351936e-05,0.0005813706738653816,29,29,C
below,open (0-60min),"(-0.001, 0.5]",low,-0.0006686419056690957,0.0005328412359348083,5,5,C
below,open (0-60min),"(-0.001, 0.5]",mid,-0.000339222442665767,0.0005760390692602848,7,7,C
below,open (0-60min),"(-0.001, 0.5]",high,-0.0006362601717387692,0.0009986512851625161,2,2,C
below,open (0-60min),"(0.5, 1.0]",low,-0.00021945613760083059,0.0014196231383502244,6,6,C
below,open (0-60min),"(0.5, 1.0]",mid,0.0004988594003858098,0.0004671221966169221,8,8,C
below,open (0-60min),"(0.5, 1.0]",high,-0.0006436537143017566,,1,1,C
below,open (0-60min),"(1.0, 1.5]",low,-6.160740075944734e-05,0.0013613376564652888,4,4,C
below,open (0-60min),"(1.0, 1.5]",mid,4.4809663743197595e-05,0.000985635097369415,7,7,C
below,open (0-60min),"(1.0, 1.5]",high,-0.00020969337218125386,0.0011689948131300986,3,3,C
below,open (0-60min),"(1.5, 2.0]",low,0.0004243439287579166,0.0006286218173497156,8,8,C
below,open (0-60min),"(1.5, 2.0]",mid,-0.00047436291185336846,0.0017869056283089017,4,4,C
below,open (0-60min),"(1.5, 2.0]",high,0.0014461362496839133,0.0004647392698875058,3,3,C
below,open (0-60min),"(2.0, 3.01]",low,-9.682691244273884e-05,0.001148314121504238,19,19,C
below,open (0-60min),"(2.0, 3.01]",mid,0.0005659643625400602,0.0009559225489706334,4,4,C
below,open (0-60min),"(2.0, 3.01]",high,0.0008082867240957046,0.0008739129908553748,6,6,C
below,midday (60-180min),"(-0.001, 0.5]",low,-0.0001286612974009103,0.00035287177889148624,14,14,C
below,midday (60-180min),"(-0.001, 0.5]",mid,-0.0003743384736029169,0.000661766794222465,13,13,C
below,midday (60-180min),"(-0.001, 0.5]",high,-0.0003405355592000255,0.00046411280385704373,24,24,C
below,midday (60-180min),"(0.5, 1.0]",low,9.586653399392545e-05,0.0007258219793346111,15,15,C
below,midday (60-180min),"(0.5, 1.0]",mid,-0.00033622395457767057,0.0011333388220109895,13,13,C
below,midday (60-180min),"(0.5, 1.0]",high,0.00014811721293021124,0.000678946556531682,26,26,C
below,midday (60-180min),"(1.0, 1.5]",low,-0.0002568012544357052,0.0007338949726276055,13,13,C
below,midday (60-180min),"(1.0, 1.5]",mid,1.0140104859902814e-05,0.0006040855331873533,18,18,C
below,midday (60-180min),"(1.0, 1.5]",high,-0.00021999427516204568,0.0005232344157545812,20,20,C
below,midday (60-180min),"(1.5, 2.0]",low,-1.3552148098565263e-05,0.0008112983296155652,30,30,C
below,midday (60-180min),"(1.5, 2.0]",mid,0.00011218738975686875,0.0008821347295004379,13,13,C
below,midday (60-180min),"(1.5, 2.0]",high,0.00017989274403384592,0.0010968537042963336,11,11,C
below,midday (60-180min),"(2.0, 3.01]",low,-1.5145054634302553e-05,0.000829414144502656,54,54,C
below,midday (60-180min),"(2.0, 3.01]",mid,-5.213364654600307e-05,0.0006879157916575015,37,37,C
below,midday (60-180min),"(2.0, 3.01]",high,-0.00012702216019412415,0.000725487547050208,14,14,C
below,close (180min+),"(-0.001, 0.5]",low,-0.0009115284076429848,0.0008996114708469098,7,7,C
below,close (180min+),"(-0.001, 0.5]",mid,-0.0002369742018691342,0.0006275774349089538,25,25,C
below,close (180min+),"(-0.001, 0.5]",high,-0.00010084424022538892,0.0003923491521692351,52,52,C
below,close (180min+),"(0.5, 1.0]",low,-5.627697263155283e-06,0.0006189925620939262,12,12,C
below,close (180min+),"(0.5, 1.0]",mid,3.3292605541826465e-05,0.0004629733862544526,23,23,C
below,close (180min+),"(0.5, 1.0]",high,9.604199990546027e-05,0.00032808704817209144,51,51,C
below,close (180min+),"(1.0, 1.5]",low,-0.000420155716739987,0.0005129277003263653,11,11,C
below,close (180min+),"(1.0, 1.5]",mid,9.645494602120744e-05,0.0005950071562794443,38,38,C
below,close (180min+),"(1.0, 1.5]",high,-8.087334182629363e-05,0.0006301213035430157,35,35,C
below,close (180min+),"(1.5, 2.0]",low,0.00015021205439784676,0.000727921835539524,22,22,C
below,close (180min+),"(1.5, 2.0]",mid,0.00022485874390543658,0.0006049160524346061,22,22,C
below,close (180min+),"(1.5, 2.0]",high,6.431083613341294e-05,0.00035712505534881485,42,42,C
below,close (180min+),"(2.0, 3.01]",low,4.594913038492338e-05,0.0006916464708513401,74,74,C
below,close (180min+),"(2.0, 3.01]",mid,8.640738351979561e-05,0.0006882627447842938,65,65,C
below,close (180min+),"(2.0, 3.01]",high,3.337083506112147e-05,0.00030791975953316654,31,31,C
